Brand,Desc,Pack Size,Ply,Rolls,Sheets,Fairprice,ColdStorage,Redmart
Beautex,Bathroom Tissue Rolls,20 x 220,3,20,220,https://www.fairprice.com.sg/product/beautex-bathroom-roll-3-ply-220-per-pack-13225606,-,Beautex Toilet Roll 3 Ply Toilet Paper- 20 Rolls
Cloversoft,Plant-Based Unbleached Bamboo,10 x 200,3,10,200,https://www.fairprice.com.sg/product/cloversoft-plant-based-unbleached-bamboo-toilet-tissues-roll-10-x-200-per-pack-13065548,https://coldstorage.com.sg/en/p/Cloversoft%20Plant-Based%20Unbleached%20Bamboo%20Toilet%20Tissues%20Roll%203%20Ply%2010%20x%20200%20Sheets/i/101641221.html,Cloversoft Plant-Based Unbleached Bamboo Toilet Tissues Roll 3 Ply 10 rolls X 200 Sheets
FairPrice,DeluxSoft Bathroom Tissue,10 x 200,3,10,200,https://www.fairprice.com.sg/product/fairprice-deluxsoft-bathroom-tissue-3ply-10-x-200-per-pack-13095920,-,-
FairPrice,Silky Soft Bathroom,10 x 200,4,10,200,https://www.fairprice.com.sg/product/fairprice-silky-soft-bathroom-tissue-rolls-4ply-10-x-200-per-pack-13097397,-,-
FairPrice,DeluxSoft Bathroom Tissue,20 x 200,3,20,200,https://www.fairprice.com.sg/product/fairprice-deluxsoft-bathroom-tissue-3-ply-20-x-200-per-pack-13163040,-,-
FairPrice,Silky Soft Bathroom,24 x 200,4,24,200,https://www.fairprice.com.sg/product/fairprice-silk-soft-bathroom-tissue-4-ply-24-x-200-per-pack-13180766,-,-
Kleenex,Ultra Soft Aloe Clean,10 x 190,3,10,190,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-ultra-soft-aloe-clean-10-x-190-per-pack-13043324,https://coldstorage.com.sg/en/p/Kleenex%203Ply%20Bathroom%20Tissue%20Cleancare%20Aloe%2010R%20200S/i/101591321.html,Kleenex Ultra Soft Aloe Clean 3-Ply Toilet Tissue - 10 Rolls
Kleenex,Ultra Soft (10s),10 x 200,3,10,200,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-ultra-soft-3ply-10-x-200-per-pack-13094765,https://coldstorage.com.sg/en/p/Kleenex%203%20Ply%20Ultrasoft%20Toilet%20Rolls%2010s/i/101591284.html,Kleenex Ultra Soft Cottony Clean 3-Ply Toilet Tissue - 10 Rolls
Kleenex,Supreme Soft,16 x 190,3,16,190,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-supreme-soft-3-ply-16-x-190-per-pack-13175120,https://coldstorage.com.sg/en/p/Kleenex%203Ply%20Bathroom%20Supreme%20Soft%2016x190s/i/101591497.html,Kleenex Supreme Soft 3-Ply Toilet Tissue - 16 Rolls
Kleenex,Ultra Soft & Thick,20 x 180,4,20,180,https://www.fairprice.com.sg/product/kleenex-ultra-soft-thick-toilet-tissue-rolls-20-x-180-per-pack-13212091,https://coldstorage.com.sg/en/p/Kleenex%204ply%20Soft%26Thick%20Regular%2020X180s/i/102691051.html,Kleenex Ultra Soft And Thick 4-Ply Toilet Tissue - 20 Rolls
Kleenex,Ultra Soft Aloe Clean,20 x 190,3,20,190,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-ultra-soft-aloe-clean-20-x-190-per-pack-13044882,https://coldstorage.com.sg/en/p/Kleenex%203%20Ply%20Ultrasoft%20Aloe%20Vera%20Toilet%20Rolls%2020s/i/101591365.html,Kleenex Ultra Soft Aloe Clean 3-Ply Toilet Tissue - 22 Rolls
Kleenex,Green Tea Clean,20 x 190,3,20,190,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-green-tea-clean-20-x-190-per-pack-13086487,https://coldstorage.com.sg/en/p/Kleenex%20Ultra%20Soft%20Green%20Tea%20Clea%203Ply%20200sx20/i/101591418.html,Kleenex Ultra Soft Green Tea Clean Toilet Tissue 20 Rolls
Kleenex,Ultra Soft (20s),20 x 200,3,20,200,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-ultra-soft-3-ply-20-x-200-per-pack-13093697,https://coldstorage.com.sg/en/p/Kleenex%203%20Ply%20Ultrasoft%20Toilet%20Rolls%2020s/i/101591352.html,Kleenex Ultra Soft Cottony Clean 3-Ply Toilet Tissue - 22 Rolls
Kleenex,Ultra Soft Aloe Clean,22 x 190,3,22,190,-,-,Kleenex Ultra Soft Aloe Clean 3-Ply Toilet Tissue - 22 Rolls
Neutra,Bathroom Tissue Rolls,20 x 190,3,20,190,https://www.fairprice.com.sg/product/neutra-bathroom-tissue-roll-3ply-20-x-190-per-pack-13101088,-,-
NooTrees,Bamboo Toilet Tissue,10 x 220,3,10,220,https://www.fairprice.com.sg/product/nootrees-bamboo-toilet-tissue-rolls-3ply-10-x-220-per-pack-13084018,https://coldstorage.com.sg/en/p/Nootrees%203%20Ply%20Bamboo%20Toilet%20Tissue%2010x220s/i/101655170.html,Nootrees Bamboo Ecoluxe 3-Ply Bathroom Tissue - 10 Rolls
